what,name,code,typeName,typeCode,comment
link,hasEntry,21237,,,
link,hasEvent,21228,,,
link,hasEventParticipant,21266,,,mixed link with type of link
link,hasEventRole,21256,,,mixed link with type of link
link,hasIdea,21274,,,
link,hasItem,21232,,,
link,hasLearningObject,21273,,,
link,hasManager,21251,,,
link,hasMap,21229,,,
link,hasMedia,21270,,,
link,hasMessage,21241,,,
link,hasMetadata,21249,,,
link,hasModel,21271,,,
link,hasOrganization,21226,,,
link,hasOrganizationAffiliate,21265,,,mixed link with type of link
link,hasOrganizationRole,21254,,,mixed link with type of link
link,hasPlace,21238,,,
link,hasRequest,21242,,,
link,hasResponse,21250,,,
link,hasSeen,21235,,,
link,hasUser,21252,,,
link,hasWebpage,21272,,,
link,hasWorkgroup,21221,,,
link,hasWorkgroupMember,21264,,,mixed link with type of link
link,hasWorkgroupRole,21255,,,mixed link with type of link
link,inAddress,21268,,,
link,isLinkedTo,21245,,,default?
link,isRelatedTo,21243,,,
link,isVisibleTo,21210,,,
link,seenBy,21263,,,
link,selected,21253,,,
